Date,TT_TU,Rolling_Mean,forecast,squared_error,is_anomaly
2001-01-01,0.4719354838709678,10.090807872945248,0.228900827596132,0.05906584415062757,0
2001-02-01,2.6142857142857143,9.992170762928827,1.603786594801306,1.0211084704787647,0
2001-03-01,5.743225806451613,9.971041730670763,5.075146690618656,0.4463297050121457,0
2001-04-01,7.572666666666667,9.752847286226318,8.911220566329344,1.791726542302162,0
2001-05-01,15.809032258064516,9.798573092677932,13.96984481962027,3.3826104337311045,0
2001-06-01,15.019,9.563795314900153,16.621797867949397,2.5689610055031316,0
2001-07-01,19.169677419354837,9.834924347158218,17.82811251407084,1.7997963950896647,0
2001-08-01,19.566129032258065,9.928553379416282,18.156020208072647,1.9884068960455816,0
2001-09-01,12.188333333333333,9.764053379416282,13.881774883674103,2.8677442844205516,0
2001-10-01,12.094193548387098,9.876553379416283,9.369324562022939,7.42491099284924,0
2001-11-01,3.197,9.655053379416282,4.117214669449759,0.8467950378705297,0
2001-12-01,-0.4506451612903226,9.416236175115207,1.3827396903006959,3.361300014043421,0
2002-01-01,-0.44612903225806444,9.339730798771122,0.25590744451423103,0.49285521471885785,0
2002-02-01,5.395714285714285,9.571516513056835,1.5353778064483115,14.902197733151613,1
2002-03-01,5.725806451612903,9.570064900153609,5.120805155447649,0.3660265683616371,0
2002-04-01,8.968333333333334,9.686370455709165,8.460171317476851,0.25822863435932425,0
2002-05-01,14.339999999999998,9.563951100870456,14.222265286740813,0.013861462706222629,0
2002-06-01,18.503666666666668,9.854339989759344,16.10865562245246,5.736077901908029,0
2002-07-01,18.376451612903224,9.78823783922171,18.37358439954507,8.220912441179205e-06,0
2002-08-01,19.249354838709678,9.761839989759345,18.417543463427958,0.6919101640480672,0
2002-09-01,13.185333333333334,9.844923323092678,13.52174975737343,0.11317601036392522,0
2002-10-01,8.880645161290323,9.577127624167948,9.789992290443376,0.8269122012988993,0
2002-11-01,6.038666666666667,9.813933179723502,3.704539003390817,5.4481519484695795,0
2002-12-01,1.4658064516129032,9.973637480798772,0.8832758010316232,0.3393419588666494,0
2003-01-01,-0.23096774193548383,9.991567588325653,0.09272469769492102,0.10477679547388329,0
2003-02-01,-2.054642857142857,9.370704493087558,2.273678745221149,18.734367893490923,1
2003-03-01,5.658709677419355,9.365113095238096,5.192325870147173,0.21751385568569578,0
2003-04-01,9.129999999999999,9.378585317460317,8.691284827623436,0.19247100247339738,0
2003-05-01,15.120967741935484,9.443665962621608,14.080167850215462,1.0832644146044097,0
2003-06-01,20.942,9.646860407066052,16.749096249796576,17.58044185846994,1
2003-07-01,19.84709677419355,9.769414170506913,18.251496834312412,2.5459391681486863,0
2003-08-01,22.239354838709676,10.018580837173579,18.46024450789565,14.281674892465311,1
2003-09-01,13.473666666666666,10.042608614951357,13.599737082893544,0.01589374984761809,0
2003-10-01,6.554838709677419,9.848791410650282,9.360659617159051,7.872630964861048,0
2003-11-01,5.299,9.787152521761394,4.275109906800291,1.0483509229525088,0
2003-12-01,1.4516129032258065,9.785969726062467,1.1701785956910153,0.07920526945758741,0
2004-01-01,0.03935483870967741,9.808496607782898,0.09444329526091737,0.0030347380451978528,0
2004-02-01,3.09,10.237216845878136,1.0419872950134972,4.194356039786133,0
2004-03-01,4.199032258064515,10.1155770609319,5.2416780580414875,1.08711026420962,0
2004-04-01,10.084333333333332,10.195104838709677,8.741476310398879,1.803264984044382,0
2004-05-01,11.871290322580645,9.924298387096774,14.279382689825688,5.798908849183836,0
2004-06-01,16.01,9.513298387096773,17.412582823028757,1.9672385754553123,0
2004-07-01,17.897096774193546,9.350798387096773,18.57065831016282,0.4536851427372872,0
2004-08-01,19.12290322580645,9.091094086021505,19.159950113111872,0.0013724718590206496,0
2004-09-01,14.360666666666667,9.165010752688172,13.598411723934602,0.5810325977194641,0
2004-10-01,10.308064516129033,9.477779569892473,8.857092681617614,2.105319264545433,0
2004-11-01,4.4383333333333335,9.40605734767025,4.297458636908929,0.019845680092668135,0
2004-12-01,0.35967741935483866,9.315062724014338,1.1873835144960576,0.6850973799339246,0
2005-01-01,1.5841935483870968,9.44379928315412,0.11734715087807998,2.151638353885181,0
2005-02-01,-1.518214285714286,9.059781426011265,1.8179224013538289,11.12980799480182,0
2005-03-01,3.6996774193548387,9.018168522785459,4.998298572821985,1.6864169002323406,0
2005-04-01,9.947000000000001,9.006724078341014,8.976716827408682,0.9414494350138758,0
2005-05-01,13.45032258064516,9.13831009984639,13.710028107292656,0.06744696057125309,0
2005-06-01,17.764333333333337,9.284504544290835,16.792473688518882,0.9445111692188777,0
2005-07-01,19.15806451612903,9.389585189452125,18.302049000266543,0.7327625633973215,0
2005-08-01,16.575483870967744,9.177300243215566,18.84788123251636,5.163789768773114,0
2005-09-01,15.406666666666666,9.264466909882232,13.756846752091032,2.7219057505303517,0
2005-10-01,10.76290322580645,9.302370135688685,9.36798414188157,1.9457992506978294,0
2005-11-01,3.417666666666667,9.217314580133129,4.249319616860679,0.6916466295664038,0
2005-12-01,0.41774193548387095,9.222153289810548,1.005766883302432,0.3457733392570215,0
2006-01-01,-2.31,8.89763716077829,0.42171971622354304,7.462292608004435,0
2006-02-01,-0.16499999999999998,9.010405017921146,1.0002878053061721,1.3578956691952753,0
2006-03-01,2.3893548387096777,8.901211469534049,4.818557222359981,5.9010242207323165,0
2006-04-01,8.804,8.805961469534049,9.068156711673161,0.06977876832197757,0
2006-05-01,13.966129032258063,8.848945340501793,13.831724626354697,0.018064544326236765,0
2006-06-01,17.587333333333333,8.834195340501791,17.08063090035206,0.2567473555891431,0
