MESS_DATUM,P
1961-01-01,1015.79
1961-01-02,1010.07
1961-01-03,994.96
1961-01-04,997.86
1961-01-05,1010.89
1961-01-06,1011.24
1961-01-07,1011.93
1961-01-08,1012.83
1961-01-09,1011.99
1961-01-10,1009.84
1961-01-11,1017.56
1961-01-12,1033.8
1961-01-13,1034.89
1961-01-14,1031.89
1961-01-15,1030.54
1961-01-16,1023.8
1961-01-17,1029.97
1961-01-18,1035.71
1961-01-19,1032.56
1961-01-20,1027.69
1961-01-21,1021.31
1961-01-22,1015.34
1961-01-23,1010.14
1961-01-24,1009.53
1961-01-25,1004.89
1961-01-26,1019.86
1961-01-27,1030.51
1961-01-28,1022.47
1961-01-29,1021.26
1961-01-30,1011.31
1961-01-31,1006.43
1961-02-01,1001.69
1961-02-02,995.17
1961-02-03,1002.67
1961-02-04,1007.24
1961-02-05,1018.43
1961-02-06,1014.29
1961-02-07,1012.37
1961-02-08,1022.27
1961-02-09,1018.93
1961-02-10,1031.31
1961-02-11,1020.94
1961-02-12,1018.51
1961-02-13,1025.91
1961-02-14,1029.01
1961-02-15,1033.64
1961-02-16,1038.4
1961-02-17,1038.06
1961-02-18,1036.8
1961-02-19,1036.94
1961-02-20,1036.74
1961-02-21,1031.09
1961-02-22,1030.67
1961-02-23,1028.89
1961-02-24,1026.94
1961-02-25,1026.74
1961-02-26,1031.77
1961-02-27,1028.46
1961-02-28,1017.61
1961-03-01,1025.14
1961-03-02,1031.7
1961-03-03,1032.97
1961-03-04,1039.3
1961-03-05,1039.6
1961-03-06,1036.93
1961-03-07,1034.6
1961-03-08,1037.27
1961-03-09,1034.7
1961-03-10,1028.34
1961-03-11,1028.84
1961-03-12,1025.67
1961-03-13,1020.53
1961-03-14,1023.9
1961-03-15,1028.33
1961-03-16,1029.17
1961-03-17,1024.0
1961-03-18,1010.43
1961-03-19,1012.06
1961-03-20,1013.3
1961-03-21,1004.41
1961-03-22,1020.69
1961-03-23,1023.54
1961-03-24,1024.97
1961-03-25,1026.03
1961-03-26,1019.47
1961-03-27,1017.37
1961-03-28,1023.69
1961-03-29,1018.61
1961-03-30,1011.04
1961-03-31,1011.47
1961-04-01,1012.29
1961-04-02,1008.87
1961-04-03,1008.8
1961-04-04,1009.46
1961-04-05,1007.83
1961-04-06,1009.51
1961-04-07,1012.67
1961-04-08,1015.51
1961-04-09,1019.27
1961-04-10,1009.46
1961-04-11,1010.77
1961-04-12,1016.26
1961-04-13,1013.71
1961-04-14,1009.83
1961-04-15,1010.5
1961-04-16,1012.37
1961-04-17,1011.56
1961-04-18,1014.11
1961-04-19,1017.36
1961-04-20,1016.87
1961-04-21,1013.19
1961-04-22,1002.97
1961-04-23,997.81
1961-04-24,1003.9
1961-04-25,1008.43
1961-04-26,1005.89
1961-04-27,1013.01
1961-04-28,1009.59
1961-04-29,1006.06
1961-04-30,1010.41
1961-05-01,1015.11
1961-05-02,1012.53
1961-05-03,1012.46
1961-05-04,1015.54
1961-05-05,1012.7
1961-05-06,1016.49
1961-05-07,1017.87
1961-05-08,1019.17
1961-05-09,1015.24
1961-05-10,1021.29
1961-05-11,1023.73
1961-05-12,1023.81
1961-05-13,1016.71
1961-05-14,1014.1
1961-05-15,1015.67
1961-05-16,1017.79
1961-05-17,1020.2
1961-05-18,1019.86
1961-05-19,1016.53
1961-05-20,1011.2
1961-05-21,1012.1
1961-05-22,1014.19
1961-05-23,1013.69
1961-05-24,1016.19
1961-05-25,1013.57
1961-05-26,1009.31
1961-05-27,1011.1
1961-05-28,1013.7
1961-05-29,1006.7
1961-05-30,1006.19
1961-05-31,1002.9
1961-06-01,999.77
1961-06-02,1005.84
1961-06-03,1012.77
1961-06-04,1014.89
1961-06-05,1015.2
1961-06-06,1011.37
1961-06-07,1010.04
1961-06-08,1012.44
1961-06-09,1010.41
1961-06-10,1015.97
1961-06-11,1016.46
1961-06-12,1013.83
1961-06-13,1005.69
1961-06-14,1015.96
1961-06-15,1018.07
1961-06-16,1019.59
1961-06-17,1020.1
1961-06-18,1018.14
1961-06-19,1022.09
1961-06-20,1025.0
1961-06-21,1022.31
1961-06-22,1017.97
1961-06-23,1020.84
1961-06-24,1021.44
1961-06-25,1016.59
1961-06-26,1010.66
1961-06-27,1010.5
1961-06-28,1027.51
1961-06-29,1028.7
1961-06-30,1024.89
1961-07-01,1022.3
1961-07-02,1020.34
1961-07-03,1018.97
1961-07-04,1015.26
1961-07-05,1019.5
1961-07-06,1023.6
1961-07-07,1023.01
1961-07-08,1019.74
1961-07-09,1016.34
1961-07-10,1016.11
1961-07-11,1012.7
1961-07-12,1004.66
1961-07-13,1001.74
1961-07-14,1007.6
1961-07-15,1010.93
1961-07-16,1011.07
1961-07-17,1012.16
1961-07-18,1011.93
1961-07-19,1010.26
1961-07-20,1014.51
1961-07-21,1017.74
1961-07-22,1016.96
1961-07-23,1019.56
1961-07-24,1024.43
1961-07-25,1026.41
1961-07-26,1018.81
1961-07-27,1012.07
1961-07-28,1006.74
1961-07-29,1016.93
1961-07-30,1021.99
1961-07-31,1022.17
1961-08-01,1018.4
1961-08-02,1015.1
1961-08-03,1021.74
1961-08-04,1019.76
1961-08-05,1015.33
1961-08-06,1011.31
1961-08-07,1014.99
1961-08-08,1013.59
1961-08-09,1018.61
1961-08-10,1016.53
1961-08-11,1016.37
1961-08-12,1018.93
1961-08-13,1022.74
1961-08-14,1019.41
