MESS_DATUM,P
2011-01-01,1021.01
2011-01-02,1021.65
2011-01-03,1024.07
2011-01-04,1021.61
2011-01-05,1016.87
2011-01-06,1006.24
2011-01-07,1010.82
2011-01-08,1011.72
2011-01-09,1013.11
2011-01-10,1022.88
2011-01-11,1013.85
2011-01-12,1017.48
2011-01-13,1013.04
2011-01-14,1016.07
2011-01-15,1023.87
2011-01-16,1028.24
2011-01-17,1027.37
2011-01-18,1025.12
2011-01-19,1026.86
2011-01-20,1027.48
2011-01-21,1033.17
2011-01-22,1031.81
2011-01-23,1027.23
2011-01-24,1022.83
2011-01-25,1012.96
2011-01-26,1009.96
2011-01-27,1018.44
2011-01-28,1022.63
2011-01-29,1020.75
2011-01-30,1021.24
2011-01-31,1026.13
2011-02-01,1029.03
2011-02-02,1032.35
2011-02-03,1029.97
2011-02-04,1026.81
2011-02-05,1025.43
2011-02-06,1026.68
2011-02-07,1023.78
2011-02-08,1023.25
2011-02-09,1026.39
2011-02-10,1022.37
2011-02-11,1013.67
2011-02-12,1018.47
2011-02-13,1014.14
2011-02-14,1010.95
2011-02-15,1005.5
2011-02-16,1003.22
2011-02-17,1004.35
2011-02-18,1014.19
2011-02-19,1018.29
2011-02-20,1018.69
2011-02-21,1019.69
2011-02-22,1020.47
2011-02-23,1028.43
2011-02-24,1028.41
2011-02-25,1030.7
2011-02-26,1021.74
2011-02-27,1015.15
2011-02-28,1024.49
2011-03-01,1030.75
2011-03-02,1030.82
2011-03-03,1030.18
2011-03-04,1030.5
2011-03-05,1024.94
2011-03-06,1028.49
2011-03-07,1035.3
2011-03-08,1028.91
2011-03-09,1019.43
2011-03-10,1017.24
2011-03-11,1018.07
2011-03-12,1012.5
2011-03-13,1007.99
2011-03-14,1015.54
2011-03-15,1015.97
2011-03-16,1008.19
2011-03-17,1005.38
2011-03-18,1020.45
2011-03-19,1030.22
2011-03-20,1034.97
2011-03-21,1036.35
2011-03-22,1037.14
2011-03-23,1038.03
2011-03-24,1033.78
2011-03-25,1019.62
2011-03-26,1015.7
2011-03-27,1014.94
2011-03-28,1014.15
2011-03-29,1016.71
2011-03-30,1016.64
2011-03-31,1019.27
2011-04-01,1023.03
2011-04-02,1019.11
2011-04-03,1012.15
2011-04-04,1019.69
2011-04-05,1026.87
2011-04-06,1028.21
2011-04-07,1022.82
2011-04-08,1022.22
2011-04-09,1021.92
2011-04-10,1024.49
2011-04-11,1021.2
2011-04-12,1018.76
2011-04-13,1019.92
2011-04-14,1018.78
2011-04-15,1021.06
2011-04-16,1022.9
2011-04-17,1024.38
2011-04-18,1021.72
2011-04-19,1017.65
2011-04-20,1016.92
2011-04-21,1015.84
2011-04-22,1010.98
2011-04-23,1010.35
2011-04-24,1015.14
2011-04-25,1019.15
2011-04-26,1018.3
2011-04-27,1016.11
2011-04-28,1013.1
2011-04-29,1010.06
2011-04-30,1007.9
2011-05-01,1009.4
2011-05-02,1008.75
2011-05-03,1013.91
2011-05-04,1021.03
2011-05-05,1024.87
2011-05-06,1023.56
2011-05-07,1021.9
2011-05-08,1021.95
2011-05-09,1025.46
2011-05-10,1025.32
2011-05-11,1021.28
2011-05-12,1016.51
2011-05-13,1021.18
2011-05-14,1014.93
2011-05-15,1020.16
2011-05-16,1023.99
2011-05-17,1021.4
2011-05-18,1017.87
2011-05-19,1016.31
2011-05-20,1018.3
2011-05-21,1020.2
2011-05-22,1018.12
2011-05-23,1024.55
2011-05-24,1022.42
2011-05-25,1026.29
2011-05-26,1013.86
2011-05-27,1015.2
2011-05-28,1017.7
2011-05-29,1016.94
2011-05-30,1014.4
2011-05-31,1011.88
2011-06-01,1023.72
2011-06-02,1028.78
2011-06-03,1025.55
2011-06-04,1015.85
2011-06-05,1007.89
2011-06-06,1005.31
2011-06-07,1004.79
2011-06-08,1005.45
2011-06-09,1014.71
2011-06-10,1016.17
2011-06-11,1016.86
2011-06-12,1018.37
2011-06-13,1017.2
2011-06-14,1018.06
2011-06-15,1017.57
2011-06-16,1014.11
2011-06-17,1013.73
2011-06-18,1008.34
2011-06-19,1012.64
2011-06-20,1016.38
2011-06-21,1015.48
2011-06-22,1014.2
2011-06-23,1017.14
2011-06-24,1021.57
2011-06-25,1025.43
2011-06-26,1023.81
2011-06-27,1020.85
2011-06-28,1016.82
2011-06-29,1014.34
2011-06-30,1019.6
2011-07-01,1021.0
2011-07-02,1016.04
2011-07-03,1013.39
2011-07-04,1014.53
2011-07-05,1013.56
2011-07-06,1009.81
2011-07-07,1010.44
2011-07-08,1013.26
2011-07-09,1016.03
2011-07-10,1017.45
2011-07-11,1018.73
2011-07-12,1014.22
2011-07-13,1007.9
2011-07-14,1016.04
2011-07-15,1018.83
2011-07-16,1011.96
2011-07-17,1004.33
2011-07-18,1006.74
2011-07-19,1005.05
2011-07-20,1004.84
2011-07-21,1008.09
2011-07-22,1008.96
2011-07-23,1010.3
2011-07-24,1010.98
2011-07-25,1010.99
2011-07-26,1012.89
2011-07-27,1016.0
2011-07-28,1016.77
2011-07-29,1016.72
2011-07-30,1015.79
2011-07-31,1016.27
2011-08-01,1016.87
2011-08-02,1017.53
2011-08-03,1016.07
2011-08-04,1015.15
2011-08-05,1013.68
2011-08-06,1007.54
2011-08-07,1007.25
2011-08-08,1009.57
2011-08-09,1017.87
2011-08-10,1023.98
2011-08-11,1016.7
2011-08-12,1012.41
2011-08-13,1011.03
2011-08-14,1008.58
2011-08-15,1014.42
2011-08-16,1018.71
2011-08-17,1017.28
2011-08-18,1014.06
2011-08-19,1016.14
2011-08-20,1021.85
2011-08-21,1018.22
2011-08-22,1016.86
2011-08-23,1013.92
2011-08-24,1014.45
2011-08-25,1014.25
2011-08-26,1006.65
2011-08-27,1015.63
2011-08-28,1019.62
2011-08-29,1016.42
2011-08-30,1016.41
2011-08-31,1014.75
2011-09-01,1014.56
2011-09-02,1014.55
2011-09-03,1013.5
2011-09-04,1010.55
2011-09-05,1015.89
2011-09-06,1020.73
2011-09-07,1013.33
2011-09-08,1012.01
2011-09-09,1013.68
2011-09-10,1012.95
2011-09-11,1011.44
2011-09-12,1015.16
2011-09-13,1014.36
2011-09-14,1018.54
2011-09-15,1021.48
2011-09-16,1018.78
2011-09-17,1012.36
2011-09-18,1007.96
2011-09-19,1014.73
2011-09-20,1024.77
2011-09-21,1022.12
2011-09-22,1020.26
2011-09-23,1019.79
2011-09-24,1018.58
2011-09-25,1020.83
2011-09-26,1025.31
2011-09-27,1028.92
2011-09-28,1030.09
2011-09-29,1029.51
2011-09-30,1027.98
2011-10-01,1026.98
2011-10-02,1025.79
2011-10-03,1023.17
2011-10-04,1021.9
2011-10-05,1021.79
2011-10-06,1013.22
2011-10-07,1011.83
2011-10-08,1013.9
2011-10-09,1022.53
2011-10-10,1017.84
2011-10-11,1018.66
2011-10-12,1019.18
2011-10-13,1028.52
2011-10-14,1033.98
2011-10-15,1032.23
2011-10-16,1028.48
2011-10-17,1024.75
2011-10-18,1015.05
2011-10-19,1017.97
2011-10-20,1026.07
2011-10-21,1030.51
2011-10-22,1026.56
2011-10-23,1021.95
2011-10-24,1013.4
2011-10-25,1008.0
2011-10-26,1015.9
2011-10-27,1018.9
2011-10-28,1025.36
2011-10-29,1027.16
2011-10-30,1024.81
2011-10-31,1021.93
2011-11-01,1019.86
2011-11-02,1018.22
2011-11-03,1011.71
2011-11-04,1009.3
2011-11-05,1009.17
2011-11-06,1013.53
2011-11-07,1016.8
2011-11-08,1019.95
2011-11-09,1023.36
2011-11-10,1024.06
2011-11-11,1027.5
2011-11-12,1034.77
2011-11-13,1035.22
2011-11-14,1029.37
2011-11-15,1024.36
2011-11-16,1025.03
2011-11-17,1026.07
2011-11-18,1026.02
2011-11-19,1024.33
2011-11-20,1024.25
2011-11-21,1021.3
2011-11-22,1022.29
2011-11-23,1029.8
2011-11-24,1035.52
2011-11-25,1031.35
2011-11-26,1031.73
2011-11-27,1024.88
2011-11-28,1029.71
2011-11-29,1024.45
2011-11-30,1027.82
2011-12-01,1021.64
2011-12-02,1013.82
2011-12-03,1012.68
2011-12-04,1003.12
2011-12-05,1003.88
2011-12-06,1009.68
2011-12-07,1007.53
2011-12-08,1019.82
2011-12-09,1012.05
2011-12-10,1016.41
2011-12-11,1019.19
2011-12-12,1012.06
2011-12-13,1009.08
2011-12-14,1006.45
2011-12-15,1009.63
2011-12-16,987.2
2011-12-17,1000.78
2011-12-18,1010.76
2011-12-19,1019.31
2011-12-20,1013.22
2011-12-21,1017.5
2011-12-22,1023.35
2011-12-23,1022.44
2011-12-24,1022.0
2011-12-25,1034.57
2011-12-26,1037.91
2011-12-27,1037.2
2011-12-28,1028.78
2011-12-29,1021.34
2011-12-30,1012.16
2011-12-31,1015.56
2012-01-01,1014.95
2012-01-02,1012.1
2012-01-03,1018.43
2012-01-04,1014.96
2012-01-05,996.56
2012-01-06,1012.32
2012-01-07,1017.74
2012-01-08,1019.59
2012-01-09,1027.35
2012-01-10,1032.36
2012-01-11,1034.0
2012-01-12,1025.91
2012-01-13,1023.62
2012-01-14,1025.55
2012-01-15,1026.94
2012-01-16,1029.2
2012-01-17,1031.57
2012-01-18,1031.8
2012-01-19,1018.7
2012-01-20,1014.26
2012-01-21,1010.72
2012-01-22,1008.38
2012-01-23,1015.18
2012-01-24,1020.38
2012-01-25,1025.05
2012-01-26,1023.71
2012-01-27,1025.89
2012-01-28,1028.25
2012-01-29,1027.46
2012-01-30,1027.13
2012-01-31,1024.88
2012-02-01,1028.09
2012-02-02,1031.39
2012-02-03,1035.42
2012-02-04,1039.04
2012-02-05,1036.67
2012-02-06,1036.6
2012-02-07,1036.96
2012-02-08,1037.44
2012-02-09,1034.45
2012-02-10,1038.23
2012-02-11,1035.08
2012-02-12,1032.82
2012-02-13,1023.8
2012-02-14,1016.28
2012-02-15,1007.92
2012-02-16,1022.65
2012-02-17,1022.81
2012-02-18,1019.16
2012-02-19,1017.87
2012-02-20,1034.1
2012-02-21,1033.72
2012-02-22,1030.92
2012-02-23,1025.02
2012-02-24,1026.05
2012-02-25,1022.87
2012-02-26,1023.52
2012-02-27,1027.12
2012-02-28,1024.07
2012-02-29,1025.27
2012-03-01,1026.38
2012-03-02,1027.13
2012-03-03,1025.45
2012-03-04,1022.1
2012-03-05,1020.71
2012-03-06,1026.83
2012-03-07,1023.83
2012-03-08,1024.72
2012-03-09,1038.29
2012-03-10,1035.72
2012-03-11,1031.3
2012-03-12,1029.8
2012-03-13,1031.83
2012-03-14,1031.86
2012-03-15,1030.04
2012-03-16,1024.25
2012-03-17,1018.91
2012-03-18,1017.11
2012-03-19,1028.6
2012-03-20,1036.08
2012-03-21,1035.83
2012-03-22,1030.92
2012-03-23,1026.66
2012-03-24,1026.38
2012-03-25,1029.67
2012-03-26,1033.19
2012-03-27,1032.11
2012-03-28,1027.93
2012-03-29,1019.62
2012-03-30,1015.88
2012-03-31,1011.46
2012-04-01,1016.91
2012-04-02,1010.98
2012-04-03,1003.96
2012-04-04,1007.26
2012-04-05,1013.81
2012-04-06,1011.45
2012-04-07,1006.7
2012-04-08,1014.17
2012-04-09,1009.71
2012-04-10,999.75
2012-04-11,1000.06
2012-04-12,1003.18
2012-04-13,1005.4
2012-04-14,1003.38
2012-04-15,1005.73
2012-04-16,1015.56
2012-04-17,1012.54
2012-04-18,999.35
2012-04-19,994.08
2012-04-20,998.22
2012-04-21,1003.69
2012-04-22,1008.43
2012-04-23,1006.01
2012-04-24,999.91
2012-04-25,1005.12
2012-04-26,1009.31
2012-04-27,1016.54
2012-04-28,1012.06
2012-04-29,1007.59
2012-04-30,1013.97
2012-05-01,1014.02
2012-05-02,1011.28
2012-05-03,1012.05
2012-05-04,1006.11
2012-05-05,1005.11
2012-05-06,1010.05
2012-05-07,1017.01
2012-05-08,1015.85
2012-05-09,1016.64
2012-05-10,1020.86
2012-05-11,1020.4
2012-05-12,1029.28
2012-05-13,1029.85
2012-05-14,1020.84
2012-05-15,1011.02
2012-05-16,1019.15
2012-05-17,1022.48
2012-05-18,1013.41
2012-05-19,1011.51
2012-05-20,1005.01
2012-05-21,998.45
2012-05-22,1005.79
2012-05-23,1017.18
2012-05-24,1022.9
2012-05-25,1023.25
2012-05-26,1020.94
2012-05-27,1018.66
2012-05-28,1014.27
2012-05-29,1012.72
2012-05-30,1016.32
2012-05-31,1016.45
2012-06-01,1015.58
2012-06-02,1015.55
2012-06-03,1008.46
2012-06-04,1010.45
2012-06-05,1017.31
2012-06-06,1011.22
2012-06-07,1006.96
2012-06-08,1009.49
2012-06-09,1014.3
2012-06-10,1011.42
2012-06-11,1004.97
2012-06-12,1003.56
2012-06-13,1012.17
2012-06-14,1018.8
2012-06-15,1017.32
2012-06-16,1016.52
2012-06-17,1022.1
2012-06-18,1015.89
2012-06-19,1016.61
2012-06-20,1012.85
2012-06-21,1010.8
2012-06-22,1019.12
2012-06-23,1023.52
2012-06-24,1016.89
2012-06-25,1016.38
2012-06-26,1021.16
2012-06-27,1019.14
2012-06-28,1012.73
2012-06-29,1009.94
2012-06-30,1011.67
2012-07-01,1017.5
2012-07-02,1018.51
2012-07-03,1016.98
2012-07-04,1013.43
2012-07-05,1010.52
2012-07-06,1011.53
2012-07-07,1013.66
2012-07-08,1011.02
2012-07-09,1013.86
2012-07-10,1013.23
2012-07-11,1014.0
2012-07-12,1016.08
2012-07-13,1010.23
2012-07-14,1007.34
2012-07-15,1014.58
2012-07-16,1023.69
2012-07-17,1021.86
2012-07-18,1016.65
2012-07-19,1010.78
2012-07-20,1015.53
2012-07-21,1019.95
2012-07-22,1027.23
2012-07-23,1026.51
2012-07-24,1017.31
2012-07-25,1014.21
2012-07-26,1015.28
2012-07-27,1011.99
2012-07-28,1009.52
