MESS_DATUM,P
1971-01-02,1024.3
1971-01-03,1019.6
1971-01-04,1023.02
1971-01-05,1024.35
1971-01-06,1029.6
1971-01-07,1037.93
1971-01-08,1033.45
1971-01-09,1033.75
1971-01-10,1035.7
1971-01-11,1022.85
1971-01-12,1023.42
1971-01-13,1027.85
1971-01-14,1024.32
1971-01-15,1019.12
1971-01-16,1016.7
1971-01-17,1014.6
1971-01-18,1015.58
1971-01-19,1006.03
1971-01-20,1002.28
1971-01-21,992.15
1971-01-22,993.78
1971-01-23,1004.9
1971-01-24,997.0
1971-01-25,1004.55
1971-01-26,1003.6
1971-01-27,996.55
1971-01-28,1010.78
1971-01-29,1017.32
1971-01-30,1014.95
1971-01-31,1004.8
1971-02-01,1007.28
1971-02-02,1032.32
1971-02-03,1027.52
1971-02-04,1032.15
1971-02-05,1037.42
1971-02-06,1035.55
1971-02-07,1031.0
1971-02-08,1028.3
1971-02-09,1028.02
1971-02-10,1025.05
1971-02-11,1026.08
1971-02-12,1024.6
1971-02-13,1012.8
1971-02-14,1009.9
1971-02-15,1002.75
1971-02-16,991.78
1971-02-17,1005.48
1971-02-18,1000.68
1971-02-19,1008.52
1971-02-20,1017.95
1971-02-21,1018.8
1971-02-22,1018.1
1971-02-23,1024.05
1971-02-24,1028.85
1971-02-25,1018.78
1971-02-26,1017.48
1971-02-27,1022.35
1971-02-28,1022.9
1971-03-01,1025.8
1971-03-02,1025.92
1971-03-03,1021.35
1971-03-04,1029.22
1971-03-05,1025.88
1971-03-06,1025.55
1971-03-07,1024.2
1971-03-08,1025.5
1971-03-09,1017.18
1971-03-10,1019.38
1971-03-11,1021.7
1971-03-12,1030.25
1971-03-13,1021.45
1971-03-14,1013.0
1971-03-15,1002.28
1971-03-16,1005.45
1971-03-17,1007.32
1971-03-18,1000.85
1971-03-19,996.05
1971-03-20,1002.0
1971-03-21,1000.0
1971-03-22,995.0
1971-03-23,1015.15
1971-03-24,1021.92
1971-03-25,1013.37
1971-03-26,1010.78
1971-03-27,1013.8
1971-03-28,1019.9
1971-03-29,1015.25
1971-03-30,1013.55
1971-03-31,1014.18
1971-04-01,1005.42
1971-04-02,997.22
1971-04-03,998.0
1971-04-05,999.53
1971-04-06,1006.82
1971-04-07,1010.22
1971-04-08,1010.12
1971-04-10,1018.25
1971-04-12,1022.8
1971-04-13,1019.3
1971-04-14,1023.95
1971-04-15,1021.6
1971-04-16,1010.4
1971-04-17,1007.65
1971-04-19,1022.58
1971-04-20,1019.1
1971-04-21,1021.38
1971-04-22,1018.68
1971-04-23,1005.58
1971-04-24,998.55
1971-04-26,1011.45
1971-04-27,1006.05
1971-04-28,1018.3
1971-04-29,1017.8
1971-04-30,1019.02
1971-05-01,1013.1
1971-05-02,1012.9
1971-05-03,1016.75
1971-05-04,1016.8
1971-05-05,1016.67
1971-05-06,1019.03
1971-05-07,1018.17
1971-05-08,1018.75
1971-05-09,1019.95
1971-05-10,1023.77
1971-05-11,1020.88
1971-05-12,1014.92
1971-05-13,1014.6
1971-05-14,1013.43
1971-05-15,1008.98
1971-05-16,1007.02
1971-05-17,1006.17
1971-05-18,1007.8
1971-05-19,1010.68
1971-05-20,1008.17
1971-05-21,1007.73
1971-05-22,1004.92
1971-05-23,1000.83
1971-05-24,1002.05
1971-05-25,1004.87
1971-05-26,1006.13
1971-05-27,1002.02
1971-05-28,1004.55
1971-05-29,1014.4
1971-05-30,1017.82
1971-05-31,1017.8
1971-06-01,1018.02
1971-06-02,1016.03
1971-06-03,1013.25
1971-06-04,1009.22
1971-06-05,1003.22
1971-06-06,1002.78
1971-06-07,1007.12
1971-06-08,1009.77
1971-06-09,1008.58
1971-06-10,1005.62
1971-06-11,1005.32
1971-06-12,1010.9
1971-06-13,1015.33
1971-06-14,1009.62
1971-06-15,1008.47
1971-06-16,1020.27
1971-06-17,1021.43
1971-06-18,1021.05
1971-06-19,1010.52
1971-06-20,1015.25
1971-06-21,1016.57
1971-06-22,1012.05
1971-06-23,1017.8
1971-06-24,1012.38
1971-06-25,1010.98
1971-06-26,1009.07
1971-06-27,1013.7
1971-06-28,1010.95
1971-06-29,1017.82
1971-06-30,1015.2
1971-07-01,1020.32
1971-07-02,1019.0
1971-07-03,1016.08
1971-07-04,1014.85
1971-07-05,1015.5
1971-07-06,1024.03
1971-07-07,1027.5
1971-07-08,1024.18
1971-07-09,1020.27
1971-07-10,1019.62
1971-07-11,1020.8
1971-07-12,1019.5
1971-07-13,1023.57
1971-07-14,1022.53
1971-07-15,1018.85
1971-07-16,1014.6
1971-07-17,1014.33
1971-07-18,1013.9
1971-07-19,1016.45
1971-07-20,1018.82
1971-07-21,1018.27
1971-07-22,1014.4
1971-07-23,1010.32
1971-07-24,1011.97
1971-07-25,1015.43
1971-07-26,1020.73
1971-07-27,1017.42
1971-07-28,1019.17
1971-07-29,1020.8
1971-07-30,1018.08
1971-07-31,1014.37
1971-08-01,1013.05
1971-08-02,1013.5
1971-08-03,1009.67
1971-08-04,1014.2
1971-08-05,1010.52
1971-08-06,1011.08
1971-08-07,1018.57
1971-08-08,1024.07
1971-08-09,1021.25
1971-08-10,1010.13
1971-08-11,1008.9
1971-08-12,1016.08
1971-08-13,1012.78
1971-08-14,1009.95
1971-08-15,1015.27
1971-08-16,1020.7
1971-08-17,1020.62
1971-08-18,1018.02
1971-08-19,1015.48
1971-08-20,1013.08
1971-08-21,1016.43
1971-08-22,1014.45
1971-08-23,1015.87
1971-08-24,1021.82
1971-08-25,1017.82
1971-08-26,1010.53
1971-08-27,1012.13
1971-08-28,1021.55
1971-08-29,1017.48
1971-08-30,1012.38
1971-08-31,1015.4
1971-09-01,1020.35
1971-09-02,1022.73
1971-09-03,1026.53
1971-09-04,1023.22
1971-09-05,1025.28
1971-09-06,1028.43
1971-09-07,1029.57
1971-09-08,1024.5
1971-09-09,1015.32
1971-09-10,1010.98
1971-09-11,1016.4
1971-09-12,1019.97
1971-09-13,1021.1
1971-09-14,1022.52
1971-09-15,1026.83
1971-09-16,1029.93
1971-09-17,1028.02
1971-09-18,1022.47
1971-09-19,1022.97
1971-09-20,1026.28
1971-09-21,1027.47
1971-09-22,1025.92
1971-09-23,1020.35
1971-09-24,1019.87
1971-09-25,1020.07
1971-09-26,1019.52
1971-09-27,1016.6
1971-09-28,1016.58
1971-09-29,1022.05
1971-09-30,1030.97
1971-10-01,1031.55
1971-10-02,1025.88
1971-10-03,1022.85
1971-10-04,1022.1
1971-10-05,1035.9
1971-10-06,1036.05
1971-10-07,1030.68
1971-10-08,1026.07
1971-10-09,1021.48
1971-10-10,1022.02
1971-10-11,1021.75
1971-10-12,1018.43
1971-10-13,1014.47
1971-10-14,1011.93
1971-10-15,1031.0
1971-10-16,1033.57
1971-10-17,1023.98
1971-10-18,1021.97
1971-10-19,1021.15
1971-10-20,1025.02
1971-10-21,1029.55
1971-10-22,1027.2
1971-10-23,1030.0
1971-10-24,1029.03
1971-10-25,1026.77
1971-10-26,1032.57
1971-10-27,1037.17
1971-10-28,1035.02
1971-10-29,1030.92
1971-10-30,1027.87
1971-10-31,1028.65
1971-11-01,1032.57
1971-11-02,1033.85
1971-11-03,1034.25
1971-11-04,1030.12
1971-11-05,1018.1
1971-11-06,1008.6
1971-11-07,1017.0
1971-11-08,1007.25
1971-11-09,1007.75
1971-11-10,1012.68
1971-11-11,1014.43
1971-11-12,1016.47
1971-11-13,1015.6
