MESS_DATUM,P
2001-08-22,1021.91
2001-08-23,1020.3
2001-08-24,1018.45
2001-08-25,1018.16
2001-08-26,1017.35
2001-08-27,1014.95
2001-08-28,1018.24
2001-08-29,1015.49
2001-08-30,1009.34
2001-08-31,1008.4
2001-09-01,1012.29
2001-09-02,1015.15
2001-09-03,1012.72
2001-09-04,1009.97
2001-09-05,1014.46
2001-09-06,1015.84
2001-09-07,1014.35
2001-09-08,1005.79
2001-09-09,1007.47
2001-09-10,1009.47
2001-09-11,1014.59
2001-09-12,1013.99
2001-09-13,1008.71
2001-09-14,1006.86
2001-09-15,1012.89
2001-09-16,1010.66
2001-09-17,1012.2
2001-09-18,1013.71
2001-09-19,1012.89
2001-09-20,1012.53
2001-09-21,1014.04
2001-09-22,1015.05
2001-09-23,1010.02
2001-09-24,1010.17
2001-09-25,1017.01
2001-09-26,1021.05
2001-09-27,1018.4
2001-09-28,1017.53
2001-09-29,1015.24
2001-09-30,1014.97
2001-10-01,1013.1
2001-10-02,1012.2
2001-10-03,1012.56
2001-10-04,1016.52
2001-10-05,1014.85
2001-10-06,1013.14
2001-10-07,1010.73
2001-10-08,1011.97
2001-10-09,1017.56
2001-10-10,1025.83
2001-10-11,1030.71
2001-10-12,1029.43
2001-10-13,1025.96
2001-10-14,1021.25
2001-10-15,1019.05
2001-10-16,1026.71
2001-10-17,1023.53
2001-10-18,1018.59
2001-10-19,1017.74
2001-10-20,1012.1
2001-10-21,1007.61
2001-10-22,1014.5
2001-10-23,1019.29
2001-10-24,1022.95
2001-10-25,1024.96
2001-10-26,1023.91
2001-10-27,1021.44
2001-10-28,1024.58
2001-10-29,1024.96
2001-10-30,1023.37
2001-10-31,1019.71
2001-11-01,1033.53
2001-11-02,1039.89
2001-11-03,1033.92
2001-11-04,1023.65
2001-11-05,1023.08
2001-11-06,1016.67
2001-11-07,1008.46
2001-11-08,993.69
2001-11-09,1012.5
2001-11-10,1030.75
2001-11-11,1026.37
2001-11-12,1015.9
2001-11-13,1014.39
2001-11-14,1027.05
2001-11-15,1038.24
2001-11-16,1038.43
2001-11-17,1035.23
2001-11-18,1025.67
2001-11-19,1023.58
2001-11-20,1029.25
2001-11-21,1030.15
