File Name,Length,Amount of Anomaly Points,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
exchange-2_cpc_results_anomaly.csv,1624,163,-2.457233107834472,c,0.12622965234176275,25,-2.567733803393165,-2.8633503662338877,3.277123774558454,c,0.01,0.347,0.463
exchange-2_cpm_results_anomaly.csv,1624,162,-3.092048148050169,c,0.027147285284142567,25,-2.567733803393165,-2.8633503662338877,1.6082838905923296,c,0.01,0.347,0.463
exchange-3_cpc_results_anomaly.csv,1538,153,-3.7687927990372687,c,0.003243239100412174,24,-2.567788014921572,-2.8634521717811046,0.6498970072129311,c,0.018100272071551717,0.347,0.463
exchange-4_cpm_results_anomaly.csv,1643,123,-14.453974360624455,c,7.023088505821499e-27,4,-2.5677102410843804,-2.863306117083598,0.1700145903396511,c,0.1,0.347,0.463
exchange-4_cpc_results_anomaly.csv,1643,165,-14.08006033734772,c,2.83920502870565e-26,4,-2.5677102410843804,-2.863306117083598,1.4713688393242925,c,0.01,0.347,0.463
exchange-3_cpm_results_anomaly.csv,1538,153,-1.982011849362878,c,0.29451554163445637,23,-2.5677873417107437,-2.8634509075517536,2.7715238631003563,c,0.01,0.347,0.463
exchange-2_cpc_results_anomaly.csv,1624,163,-0.7737307444088162,n,0.3815564087900605,25,-1.6166548488362562,-1.9411693952003528,3.277123774558454,c,0.01,0.347,0.463
exchange-2_cpm_results_anomaly.csv,1624,162,-0.6528647163598811,n,0.4324523823894849,25,-1.6166548488362562,-1.9411693952003528,1.6082838905923296,c,0.01,0.347,0.463
exchange-3_cpc_results_anomaly.csv,1538,153,-0.8320257627214915,n,0.35710210730071545,24,-1.6166456329855747,-1.94117898904079,0.6498970072129311,c,0.018100272071551717,0.347,0.463
exchange-4_cpm_results_anomaly.csv,1643,123,-2.1550001157284933,n,0.029908037130397896,25,-1.6166567771900069,-1.9411673896554373,0.1700145903396511,c,0.1,0.347,0.463
exchange-4_cpc_results_anomaly.csv,1643,165,-2.156556592462167,n,0.02979226722829071,25,-1.6166567771900069,-1.9411673896554373,1.4713688393242925,c,0.01,0.347,0.463
exchange-3_cpm_results_anomaly.csv,1538,153,-0.09992040765744388,n,0.6500611969981791,23,-1.6166457473824347,-1.9411788698597967,2.7715238631003563,c,0.01,0.347,0.463
exchange-2_cpc_results_anomaly.csv,1624,163,-3.5961557310338486,ct,0.03017263727041572,25,-3.1286695650559,-3.4132409839404394,0.37003098819229546,ct,0.01,0.119,0.146
exchange-2_cpm_results_anomaly.csv,1624,162,-3.7945923297192428,ct,0.016836404574493122,25,-3.1286695650559,-3.4132409839404394,0.28605575063011174,ct,0.01,0.119,0.146
exchange-3_cpc_results_anomaly.csv,1538,153,-3.733397169676565,ct,0.020250021560145798,24,-3.1287606437278352,-3.413395744918538,0.6412651731974311,ct,0.01,0.119,0.146
exchange-4_cpm_results_anomaly.csv,1643,123,-14.469591392836003,ct,4.580105221153902e-22,4,-3.128629978361519,-3.4131737200213093,0.09147078541289853,ct,0.1,0.119,0.146
exchange-4_cpc_results_anomaly.csv,1643,165,-14.536958009239443,ct,4.1087053525232395e-22,4,-3.128629978361519,-3.4131737200213093,0.08915315000751536,ct,0.1,0.119,0.146
exchange-3_cpm_results_anomaly.csv,1538,153,-2.622384236544735,ct,0.26969733143919117,23,-3.12875951270399,-3.413393823045506,1.0163854707418254,ct,0.01,0.119,0.146
exchange-2_cpc_results_anomaly.csv,1624,163,-3.8343917737293496,ctt,0.04976213665930406,25,-3.5555522009732488,-3.8360906022155454,0.37003098819229546,ct,0.01,0.119,0.146
exchange-2_cpm_results_anomaly.csv,1624,162,-3.613460776195752,ctt,0.08686485013751427,25,-3.5555522009732488,-3.8360906022155454,0.28605575063011174,ct,0.01,0.119,0.146
exchange-3_cpc_results_anomaly.csv,1538,153,-4.583731282754795,ctt,0.004869416220243933,24,-3.555681101198117,-3.8362987949725222,0.6412651731974311,ct,0.01,0.119,0.146
exchange-4_cpm_results_anomaly.csv,1643,123,-14.497501343062538,ctt,2.3582041068463954e-23,4,-3.55549617525572,-3.836000115530142,0.09147078541289853,ct,0.1,0.119,0.146
exchange-4_cpc_results_anomaly.csv,1643,165,-14.548322842282955,ctt,2.071294801151497e-23,4,-3.55549617525572,-3.836000115530142,0.08915315000751536,ct,0.1,0.119,0.146
exchange-3_cpm_results_anomaly.csv,1538,153,-3.959971291242055,ctt,0.03529466931742087,23,-3.555679500505561,-3.8362962095592246,1.0163854707418254,ct,0.01,0.119,0.146
