Collection;Signal;TS_ST_C;ST_C;DS_ST_C;TS_ST_CT;ST_CT;DS_ST_CT;A_ST_C;A_ST_CT;A_ST_CTT;A_ST_N;TAG_THR;TAG_AC;TAG_PR;TAG_RE;TAG_F1;TG_dtw_m_ac;TG_dtw_m_pr;TG_dtw_m_re;TG_dtw_m_f1;TG_dtw_sum_ac;TG_dtw_sum_pr;TG_dtw_sum_rec;TG_dtw_sum_f1;TH_8_dtw_acc;TH_8_dtw_pr;TH_8_dtw_rec;TH_8_dtw_f1
realTraffic;occupancy_t4013;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;8,5;0,7317;0,3333;0,8333;0,4762;0,834;0,198;0,49;0,282;0,902;0,339;0,49;0,401;0,358;nan;0;nan
realTraffic;speed_6005;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;8;0,5854;0,0667;0,25;0,1053;0,834;0,491;0,805;0,61;0,767;1;0,767;0,868;0;nan;0;nan
realTraffic;speed_7578;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;3,1;0,8333;0,6667;0,5;0,5714;0,595;0,106;1;0,191;0,616;0,092;0,785;0,164;0,934;nan;0;nan
realTraffic;speed_t4013;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;7;0,878;1;0,1667;0,2857;0,882;0,36;0,951;0,522;0,899;0,335;0,49;0,398;0,352;nan;0;nan
realKnownCause;ambient_temperature_system_failure;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;11;0,909;0,6667;0,533;0,5925;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
realKnownCause;cpu_utilization_asg_misconfiguration;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;6,5;0,95;1;0,4;0,5714;0,176;1;0,176;0,3;nan;nan;nan;nan;0;nan;0;nan
realKnownCause;ec2_request_latency_system_failure;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;1,5;0,9104;0,75;0,375;0,5;0,891;0,97;0,373;0,539;nan;nan;nan;nan;0,848;1;0,108;0,195
realKnownCause;machine_temperature_system_failure;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;8;0,9048;0,5385;1;0,7;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
realKnownCause;nyc_taxi;YES;NO;NO;NO;YES;NO;YES;YES;YES;NO;9;0,6199;0,1739;0,6;0,2697;0,901;0,51;0,404;0,451;nan;nan;nan;nan;0,792;1;0,094;0,172
realKnownCause;rogue_agent_key_hold;NO;YES;NO;NO;YES;NO;YES;YES;YES;YES;5,4;0,7419;0,3846;1;0,5556;0,832;0;0;nan;nan;nan;nan;nan;0,875;nan;0;nan
