MESS_DATUM,TT_TU
1971-01-01,-15.02
1971-01-02,-16.08
1971-01-03,-14.56
1971-01-04,-7.93
1971-01-05,-11.18
1971-01-06,-17.5
1971-01-07,-16.54
1971-01-08,-11.07
1971-01-09,-9.77
1971-01-10,-9.05
1971-01-11,-2.78
1971-01-12,-6.57
1971-01-13,-11.08
1971-01-14,-10.55
1971-01-15,-8.24
1971-01-16,0.07
1971-01-17,1.17
1971-01-18,-3.05
1971-01-19,-0.43
1971-01-20,2.39
1971-01-21,1.6
1971-01-22,2.11
1971-01-23,3.36
1971-01-24,5.86
1971-01-25,4.38
1971-01-26,5.33
1971-01-27,6.54
1971-01-28,5.02
1971-01-29,3.21
1971-01-30,0.1
1971-01-31,0.6
1971-02-01,0.87
1971-02-02,-3.2
1971-02-03,-2.69
1971-02-04,0.08
1971-02-05,-0.93
1971-02-06,0.9
1971-02-07,1.06
1971-02-08,2.51
1971-02-09,3.21
1971-02-10,1.78
1971-02-11,2.02
1971-02-12,2.08
1971-02-13,5.59
1971-02-14,2.82
1971-02-15,2.39
1971-02-16,3.7
1971-02-17,2.06
1971-02-18,2.2
1971-02-19,3.88
1971-02-20,0.56
1971-02-21,0.58
1971-02-22,2.96
1971-02-23,2.07
1971-02-24,2.0
1971-02-25,3.52
1971-02-26,-0.06
1971-02-27,-5.74
1971-02-28,-5.37
1971-03-01,-3.82
1971-03-02,-4.3
1971-03-03,-4.9
1971-03-04,-8.71
1971-03-05,-7.8
1971-03-06,-8.3
1971-03-07,-4.6
1971-03-08,-3.79
1971-03-09,-4.68
1971-03-10,1.05
1971-03-11,0.31
1971-03-12,-2.45
1971-03-13,3.29
1971-03-14,2.2
1971-03-15,2.43
1971-03-16,4.04
1971-03-17,4.47
1971-03-18,7.05
1971-03-19,6.79
1971-03-20,7.04
1971-03-21,10.49
1971-03-22,6.15
1971-03-23,2.75
1971-03-24,3.2
1971-03-25,7.22
1971-03-26,4.58
1971-03-27,2.08
1971-03-28,4.05
1971-03-29,3.7
1971-03-30,4.48
1971-03-31,5.76
1971-04-01,7.16
1971-04-02,7.53
1971-04-03,9.14
1971-04-04,10.21
1971-04-05,10.4
1971-04-06,9.1
1971-04-07,9.72
1971-04-08,12.38
1971-04-09,13.45
1971-04-10,11.16
1971-04-11,9.52
1971-04-12,8.91
1971-04-13,8.88
1971-04-14,9.14
1971-04-15,8.8
1971-04-16,11.66
1971-04-17,9.92
1971-04-18,6.61
1971-04-19,9.66
1971-04-20,10.25
1971-04-21,13.54
1971-04-22,14.82
1971-04-23,16.47
1971-04-24,11.14
1971-04-25,6.31
1971-04-26,5.42
1971-04-27,6.69
1971-04-28,4.5
1971-04-29,5.92
1971-04-30,6.88
1971-05-01,7.66
1971-05-02,6.25
1971-05-03,8.21
1971-05-04,9.7
1971-05-05,10.63
1971-05-06,12.92
1971-05-07,13.38
1971-05-08,13.94
1971-05-09,16.6
1971-05-10,14.74
1971-05-11,16.99
1971-05-12,19.13
1971-05-13,16.13
1971-05-14,16.82
1971-05-15,15.45
1971-05-16,18.18
1971-05-17,21.33
1971-05-18,21.39
1971-05-19,21.12
1971-05-20,20.28
1971-05-21,15.73
1971-05-22,15.29
1971-05-23,14.2
1971-05-24,12.99
1971-05-25,14.18
1971-05-26,12.92
1971-05-27,13.78
1971-05-28,13.58
1971-05-29,12.6
1971-05-30,15.2
1971-05-31,16.8
1971-06-01,17.94
1971-06-02,17.41
1971-06-03,18.66
1971-06-04,16.51
1971-06-05,17.1
1971-06-06,17.4
1971-06-07,15.34
1971-06-08,16.34
1971-06-09,14.97
1971-06-10,14.06
1971-06-11,13.52
1971-06-12,11.65
1971-06-13,12.44
1971-06-14,14.4
1971-06-15,13.62
1971-06-16,10.72
1971-06-17,11.12
1971-06-18,11.62
1971-06-19,10.6
1971-06-20,12.68
1971-06-21,13.33
1971-06-22,13.46
1971-06-23,13.12
1971-06-24,15.32
1971-06-25,16.99
1971-06-26,17.58
1971-06-27,15.2
1971-06-28,13.13
1971-06-29,12.67
1971-06-30,11.92
1971-07-01,12.28
1971-07-02,13.57
1971-07-03,15.51
1971-07-04,16.04
1971-07-05,18.85
1971-07-06,19.75
1971-07-07,20.36
1971-07-08,21.39
1971-07-09,22.12
1971-07-10,23.12
1971-07-11,24.35
1971-07-12,23.6
1971-07-13,19.3
1971-07-14,16.71
1971-07-15,16.71
1971-07-16,16.81
1971-07-17,15.23
1971-07-18,16.01
1971-07-19,16.81
1971-07-20,13.73
1971-07-21,13.97
1971-07-22,18.3
1971-07-23,18.95
1971-07-24,20.18
1971-07-25,22.8
1971-07-26,23.55
1971-07-27,25.05
1971-07-28,21.02
1971-07-29,19.72
1971-07-30,20.26
1971-07-31,23.06
1971-08-01,22.86
1971-08-02,23.83
1971-08-03,22.68
1971-08-04,20.47
1971-08-05,19.91
1971-08-06,22.36
1971-08-07,21.12
1971-08-08,17.03
1971-08-09,16.93
1971-08-10,19.19
1971-08-11,21.53
1971-08-12,16.82
1971-08-13,17.33
1971-08-14,22.4
1971-08-15,20.05
1971-08-16,16.12
1971-08-17,17.04
1971-08-18,19.82
1971-08-19,21.94
1971-08-20,20.98
1971-08-21,15.54
1971-08-22,16.99
1971-08-23,16.12
1971-08-24,13.35
1971-08-25,15.49
1971-08-26,13.7
1971-08-27,16.17
1971-08-28,14.76
1971-08-29,16.37
1971-08-30,15.92
1971-08-31,15.2
1971-09-01,14.82
1971-09-02,14.4
1971-09-03,14.4
1971-09-04,16.68
1971-09-05,16.05
1971-09-06,12.87
1971-09-07,12.32
1971-09-08,12.92
1971-09-09,12.55
1971-09-10,12.18
1971-09-11,11.81
1971-09-12,11.41
1971-09-13,11.97
1971-09-14,9.02
1971-09-15,7.74
1971-09-16,5.69
1971-09-17,6.7
1971-09-18,9.09
1971-09-19,10.14
1971-09-20,10.41
1971-09-21,11.22
1971-09-22,11.1
1971-09-23,13.59
1971-09-24,15.34
1971-09-25,14.61
1971-09-26,13.73
1971-09-27,13.78
1971-09-28,12.21
1971-09-29,10.98
1971-09-30,10.45
1971-10-01,9.81
1971-10-02,11.36
1971-10-03,9.65
1971-10-04,9.63
1971-10-05,4.38
1971-10-06,5.1
1971-10-07,5.36
1971-10-08,7.78
1971-10-09,7.1
1971-10-10,9.72
1971-10-11,10.06
1971-10-12,10.19
1971-10-13,10.06
1971-10-14,7.05
1971-10-15,3.7
1971-10-16,2.61
1971-10-17,3.7
1971-10-18,10.51
1971-10-19,12.68
1971-10-20,11.59
1971-10-21,10.27
1971-10-22,11.28
1971-10-23,9.94
1971-10-24,7.25
1971-10-25,8.15
1971-10-26,8.85
1971-10-27,5.15
1971-10-28,4.57
1971-10-29,4.72
1971-10-30,2.03
1971-10-31,3.36
1971-11-01,6.33
1971-11-02,7.35
1971-11-03,4.24
1971-11-04,6.04
1971-11-05,5.57
1971-11-06,8.88
1971-11-07,5.52
1971-11-08,4.77
1971-11-09,5.67
1971-11-10,4.15
1971-11-11,2.57
1971-11-12,1.61
1971-11-13,1.14
1971-11-14,3.53
1971-11-15,5.0
1971-11-16,6.33
1971-11-17,6.02
1971-11-18,7.17
1971-11-19,1.4
1971-11-20,-2.9
1971-11-21,-2.79
1971-11-22,2.7
1971-11-23,0.92
1971-11-24,-1.62
1971-11-25,-1.78
1971-11-26,0.6
1971-11-27,1.46
1971-11-28,0.53
1971-11-29,2.54
1971-11-30,3.24
1971-12-01,2.12
1971-12-02,2.0
1971-12-03,3.45
1971-12-04,3.36
1971-12-05,4.41
1971-12-06,4.89
1971-12-07,5.13
1971-12-08,2.12
1971-12-09,-3.61
1971-12-10,1.9
1971-12-11,6.84
1971-12-12,5.86
1971-12-13,4.57
1971-12-14,2.32
1971-12-15,-1.08
1971-12-16,2.87
1971-12-17,3.67
1971-12-18,-1.03
1971-12-19,-0.33
1971-12-20,7.08
1971-12-21,9.93
1971-12-22,9.73
1971-12-23,6.58
1971-12-24,6.8
1971-12-25,2.08
1971-12-26,2.18
1971-12-27,1.77
1971-12-28,2.61
1971-12-29,-1.0
1971-12-30,0.54
1971-12-31,2.82
1972-01-01,2.91
1972-01-02,0.11
1972-01-03,0.08
1972-01-04,0.39
1972-01-05,-2.38
1972-01-06,-2.34
1972-01-07,-0.65
1972-01-08,-0.5
1972-01-09,0.2
1972-01-10,-0.87
1972-01-11,2.21
1972-01-12,1.25
1972-01-13,-1.54
1972-01-14,-2.67
1972-01-15,-3.8
1972-01-16,-6.93
1972-01-17,-8.39
1972-01-18,-9.74
1972-01-19,-8.17
1972-01-20,-6.07
1972-01-21,-4.15
1972-01-22,0.05
1972-01-23,-0.49
1972-01-24,-1.5
1972-01-25,-3.5
1972-01-26,-1.35
1972-01-27,-0.14
1972-01-28,-0.89
1972-01-29,-6.91
1972-01-30,-8.48
1972-01-31,-8.24
1972-02-01,-5.73
1972-02-02,-1.08
1972-02-03,-4.13
1972-02-04,-2.26
1972-02-05,-3.09
1972-02-06,-0.55
1972-02-07,1.98
1972-02-08,1.97
1972-02-09,0.28
1972-02-10,0.22
1972-02-11,2.87
1972-02-12,3.31
1972-02-13,3.17
1972-02-14,2.35
1972-02-15,1.69
1972-02-16,1.09
1972-02-17,1.38
1972-02-18,1.18
1972-02-19,3.29
1972-02-20,4.18
1972-02-21,3.48
1972-02-22,1.45
1972-02-23,5.2
1972-02-24,5.31
1972-02-25,3.45
1972-02-26,3.68
1972-02-27,4.09
1972-02-28,3.77
1972-02-29,4.76
1972-03-01,3.82
1972-03-02,4.57
1972-03-03,4.29
1972-03-04,5.85
1972-03-05,4.07
1972-03-06,4.8
1972-03-07,5.1
1972-03-08,4.65
1972-03-09,5.29
1972-03-10,4.87
1972-03-11,2.87
1972-03-12,-0.63
1972-03-13,3.19
1972-03-14,4.11
1972-03-15,6.02
1972-03-16,7.57
1972-03-17,9.93
1972-03-18,12.63
1972-03-19,7.53
1972-03-20,7.28
1972-03-21,8.55
1972-03-22,7.09
1972-03-23,7.66
1972-03-24,6.63
1972-03-25,4.85
1972-03-26,8.85
1972-03-27,7.23
1972-03-28,3.77
1972-03-29,4.41
1972-03-30,5.86
1972-03-31,7.81
1972-04-01,8.75
1972-04-02,7.77
1972-04-03,11.95
1972-04-04,9.52
1972-04-05,9.55
1972-04-06,8.38
1972-04-07,10.58
1972-04-08,10.63
1972-04-09,8.3
1972-04-10,7.72
1972-04-11,6.59
1972-04-12,7.83
1972-04-13,8.13
1972-04-14,9.01
1972-04-15,8.25
1972-04-16,6.57
1972-04-17,6.0
1972-04-18,6.81
1972-04-19,5.27
1972-04-20,8.81
1972-04-21,8.82
1972-04-22,9.67
1972-04-23,9.78
1972-04-24,6.25
1972-04-25,2.13
1972-04-26,3.48
1972-04-27,6.78
1972-04-28,4.49
1972-04-29,8.79
1972-04-30,15.0
1972-05-01,13.32
1972-05-02,14.85
1972-05-03,14.14
1972-05-04,10.5
1972-05-05,11.55
1972-05-06,12.44
1972-05-07,12.24
1972-05-08,13.61
1972-05-09,12.2
1972-05-10,10.85
1972-05-11,8.45
1972-05-12,8.97
1972-05-13,9.54
1972-05-14,7.58
1972-05-15,7.74
1972-05-16,8.04
1972-05-17,9.2
1972-05-18,10.01
1972-05-19,12.48
1972-05-20,14.41
1972-05-21,11.9
1972-05-22,12.83
1972-05-23,15.8
1972-05-24,15.38
1972-05-25,15.57
1972-05-26,14.21
1972-05-27,11.9
1972-05-28,10.35
1972-05-29,12.42
1972-05-30,13.59
1972-05-31,11.11
1972-06-01,10.0
1972-06-02,10.24
1972-06-03,11.51
1972-06-04,17.09
1972-06-05,19.73
1972-06-06,17.51
1972-06-07,17.25
1972-06-08,13.52
1972-06-09,13.72
1972-06-10,14.04
1972-06-11,13.49
1972-06-12,10.72
1972-06-13,12.34
1972-06-14,12.68
1972-06-15,15.2
1972-06-16,13.92
1972-06-17,13.71
1972-06-18,15.43
1972-06-19,16.92
1972-06-20,14.9
1972-06-21,15.57
1972-06-22,17.25
1972-06-23,14.02
1972-06-24,12.66
1972-06-25,14.47
1972-06-26,17.06
1972-06-27,19.0
1972-06-28,17.51
1972-06-29,17.1
1972-06-30,14.8
1972-07-01,12.97
1972-07-02,13.4
1972-07-03,13.62
1972-07-04,15.75
1972-07-05,18.17
1972-07-06,18.74
1972-07-07,19.33
1972-07-08,18.75
1972-07-09,22.82
1972-07-10,16.38
1972-07-11,13.2
1972-07-12,15.01
1972-07-13,16.53
1972-07-14,16.28
1972-07-15,18.32
1972-07-16,23.69
1972-07-17,23.92
1972-07-18,21.82
1972-07-19,23.9
1972-07-20,24.59
1972-07-21,25.27
1972-07-22,21.64
1972-07-23,20.23
1972-07-24,21.45
1972-07-25,19.02
1972-07-26,17.6
1972-07-27,14.53
1972-07-28,13.05
1972-07-29,14.08
1972-07-30,14.4
1972-07-31,15.48
1972-08-01,15.45
1972-08-02,14.41
1972-08-03,13.92
1972-08-04,14.28
1972-08-05,16.0
1972-08-06,17.3
1972-08-07,19.62
1972-08-08,19.76
1972-08-09,20.15
1972-08-10,20.82
1972-08-11,20.02
1972-08-12,19.5
1972-08-13,22.39
1972-08-14,24.5
1972-08-15,20.74
1972-08-16,16.13
1972-08-17,14.8
1972-08-18,13.53
1972-08-19,10.84
1972-08-20,11.67
1972-08-21,13.01
1972-08-22,12.25
1972-08-23,11.55
1972-08-24,12.32
1972-08-25,13.97
1972-08-26,14.61
1972-08-27,16.1
1972-08-28,15.99
1972-08-29,15.38
1972-08-30,15.85
1972-08-31,14.55
1972-09-01,12.74
1972-09-02,13.0
1972-09-03,15.55
1972-09-04,16.4
1972-09-05,17.08
1972-09-06,15.91
1972-09-07,16.7
1972-09-08,16.4
1972-09-09,16.59
1972-09-10,16.49
1972-09-11,9.72
1972-09-12,9.68
1972-09-13,8.32
1972-09-14,8.46
1972-09-15,9.45
1972-09-16,10.68
1972-09-17,8.7
1972-09-18,8.29
1972-09-19,10.28
1972-09-20,11.11
1972-09-21,8.9
1972-09-22,8.93
1972-09-23,10.52
1972-09-24,7.57
1972-09-25,5.03
1972-09-26,4.65
1972-09-27,5.65
1972-09-28,9.5
1972-09-29,7.67
1972-09-30,6.98
1972-10-01,7.85
1972-10-02,7.21
1972-10-03,4.85
1972-10-04,3.9
1972-10-05,5.55
1972-10-06,10.51
1972-10-07,9.85
1972-10-08,7.72
1972-10-09,5.75
1972-10-10,5.34
1972-10-11,6.25
1972-10-12,5.85
1972-10-13,7.81
1972-10-14,6.17
1972-10-15,5.07
1972-10-16,6.26
1972-10-17,3.72
1972-10-18,3.82
1972-10-19,0.55
1972-10-20,-1.07
1972-10-21,2.07
1972-10-22,2.15
1972-10-23,6.72
1972-10-24,9.04
1972-10-25,6.25
1972-10-26,3.09
1972-10-27,8.4
1972-10-28,7.28
1972-10-29,8.93
1972-10-30,6.2
1972-10-31,6.34
1972-11-01,6.67
1972-11-02,4.43
1972-11-03,4.61
1972-11-04,4.35
1972-11-05,5.46
1972-11-06,7.21
1972-11-07,8.77
1972-11-08,7.36
1972-11-09,8.22
1972-11-10,7.96
1972-11-11,6.18
1972-11-12,4.04
1972-11-13,6.89
1972-11-14,2.83
1972-11-15,1.84
1972-11-16,-0.36
1972-11-17,0.6
1972-11-18,1.04
1972-11-19,0.87
1972-11-20,4.1
1972-11-21,5.83
1972-11-22,5.47
1972-11-23,3.93
1972-11-24,0.01
1972-11-25,-0.45
1972-11-26,-2.97
1972-11-27,-0.58
1972-11-28,-0.34
1972-11-29,1.9
1972-11-30,2.43
1972-12-01,3.04
1972-12-02,3.25
1972-12-03,2.75
1972-12-04,4.25
1972-12-05,5.22
1972-12-06,5.14
1972-12-07,5.76
1972-12-08,5.87
1972-12-09,4.59
1972-12-10,1.37
1972-12-11,1.46
1972-12-12,1.66
1972-12-13,-1.34
1972-12-14,-0.58
1972-12-15,-1.7
1972-12-16,-1.6
1972-12-17,-3.05
1972-12-18,-2.05
1972-12-19,1.25
1972-12-20,0.4
1972-12-21,-3.36
1972-12-22,-7.74
1972-12-23,-8.93
1972-12-24,-7.12
1972-12-25,-9.18
1972-12-26,-9.19
1972-12-27,-4.65
1972-12-28,-1.01
1972-12-29,-0.84
1972-12-30,-1.8
1972-12-31,-6.95
1973-01-01,-5.7
1973-01-02,-6.36
1973-01-03,-7.16
1973-01-04,-2.12
1973-01-05,-1.38
1973-01-06,0.48
1973-01-07,-1.77
1973-01-08,-2.33
1973-01-09,-1.16
1973-01-10,0.1
1973-01-11,0.14
1973-01-12,0.44
1973-01-13,-1.82
1973-01-14,-3.03
