Date,TT_TU,Rolling_Mean,adjusted_TT
1962-01-01,1.4519354838709677,9.215321684587813,9.799354838709677
1962-02-01,-0.1967857142857143,8.872256208397337,8.150633640552996
1962-03-01,0.7012903225806452,8.441315348182284,9.048709677419355
1962-04-01,9.358333333333333,8.215343125960063,17.70575268817204
1962-05-01,10.300322580645162,8.183891513056835,18.64774193548387
1962-06-01,14.950666666666667,8.09944706861239,23.298086021505377
1962-07-01,15.801290322580646,8.14167825140809,24.148709677419355
1962-08-01,17.090967741935486,8.208183627752177,25.438387096774196
1962-09-01,12.648333333333333,7.9029336277521764,20.995752688172043
1962-10-01,8.172258064516129,7.740729326676907,16.51967741935484
1962-11-01,1.9203333333333332,7.646229326676907,10.267752688172044
1962-12-01,-5.211935483870968,7.248917498719918,3.135483870967742
1963-01-01,-7.34741935483871,6.515637928827445,1.0
1963-02-01,-6.736071428571428,5.970697452636969,1.6113479262672818
1963-03-01,1.7203225806451614,6.055616807475679,10.067741935483872
1963-04-01,9.3,6.0507556963645674,17.64741935483871
1963-05-01,12.851290322580645,6.263336341525858,21.198709677419355
1963-06-01,16.10533333333333,6.35955856374808,24.45275268817204
1963-07-01,18.38,6.57445103686636,26.72741935483871
1963-08-01,16.521612903225805,6.52700480030722,24.869032258064514
1963-09-01,14.397333333333334,6.672754800307218,22.744752688172042
1963-10-01,7.330645161290323,6.602620391705069,15.678064516129034
1963-11-01,7.122,7.036092613927291,15.46941935483871
1963-12-01,-3.970322580645161,7.139560355862774,4.377096774193548
1964-01-01,-5.723548387096774,7.274882936507936,2.6238709677419356
1964-02-01,0.3137931034482758,7.862371647509577,8.661212458286986
1964-03-01,1.2729032258064517,7.825086701273019,9.620322580645162
1964-04-01,9.315666666666665,7.826392256828574,17.663086021505375
1964-05-01,13.984516129032258,7.920827740699543,22.331935483870968
1964-06-01,18.006666666666668,8.079272185143987,26.354086021505378
1964-07-01,18.916129032258063,8.123949604498826,27.263548387096773
1964-08-01,16.448387096774194,8.117847453961192,24.795806451612904
1964-09-01,13.580333333333334,8.049764120627858,21.927752688172042
