Date,TT_TU
1961-01,-0.8590322580645162
1961-02,3.9199999999999995
1961-03,5.872580645161291
1961-04,12.07
1961-05,10.677741935483871
1961-06,15.964
1961-07,15.294516129032258
1961-08,16.29290322580645
1961-09,16.311333333333334
1961-10,10.118709677419355
1961-11,3.054333333333333
1961-12,-0.4441935483870967
1962-01,1.4519354838709677
1962-02,-0.1967857142857143
1962-03,0.7012903225806452
1962-04,9.358333333333333
1962-05,10.300322580645162
1962-06,14.950666666666667
1962-07,15.801290322580646
1962-08,17.090967741935486
1962-09,12.648333333333333
1962-10,8.172258064516129
1962-11,1.9203333333333332
1962-12,-5.211935483870968
1963-01,-7.34741935483871
1963-02,-6.736071428571428
1963-03,1.7203225806451614
1963-04,9.3
1963-05,12.851290322580645
1963-06,16.10533333333333
1963-07,18.38
1963-08,16.521612903225805
1963-09,14.397333333333334
1963-10,7.330645161290323
1963-11,7.122
1963-12,-3.970322580645161
1964-01,-5.723548387096774
1964-02,0.3137931034482758
1964-03,1.2729032258064517
1964-04,9.315666666666665
1964-05,13.984516129032258
1964-06,18.006666666666668
1964-07,18.916129032258063
1964-08,16.448387096774194
1964-09,13.580333333333334
1964-10,7.814838709677419
1964-11,5.235666666666666
1964-12,-0.3138709677419355
1965-01,0.8716129032258064
1965-02,-2.2239285714285715
1965-03,2.1848387096774196
1965-04,7.086666666666667
1965-05,12.038387096774194
1965-06,16.175333333333334
1965-07,16.088387096774195
1965-08,15.29516129032258
1965-09,12.268333333333334
1965-10,7.199354838709677
1965-11,1.5533333333333335
1965-12,3.1861290322580644
1966-01,-3.2983870967741935
1966-02,5.311428571428571
1966-03,3.196451612903226
1966-04,10.043333333333333
1966-05,13.151612903225805
1966-06,17.384999999999998
1966-07,15.69774193548387
1966-08,16.23483870967742
1966-09,13.694666666666667
1966-10,11.57258064516129
1966-11,1.6113333333333333
1966-12,2.073870967741936
1967-01,0.13258064516129028
1967-02,2.5760714285714283
1967-03,5.748064516129032
1967-04,7.054666666666666
1967-05,12.93774193548387
1967-06,15.200666666666667
1967-07,19.379354838709677
1967-08,16.80322580645161
1967-09,13.821
1967-10,11.65709677419355
1967-11,3.107666666666667
1967-12,-0.40225806451612905
1968-01,-1.9551612903225808
1968-02,1.1406896551724137
1968-03,4.258709677419355
1968-04,9.033999999999999
1968-05,11.796129032258065
1968-06,16.698666666666664
1968-07,17.057741935483868
1968-08,16.543225806451613
1968-09,13.579333333333333
1968-10,9.837741935483871
1968-11,3.1016666666666666
1968-12,-1.9283870967741936
1969-01,-0.36354838709677423
1969-02,-2.148214285714286
1969-03,2.806451612903226
1969-04,7.829666666666666
1969-05,13.938709677419356
1969-06,15.405
1969-07,19.169032258064515
1969-08,17.107741935483872
1969-09,13.868666666666666
1969-10,8.64774193548387
1969-11,5.075333333333333
1969-12,-5.297096774193549
1970-01,-3.0883870967741935
1970-02,-0.14214285714285718
1970-03,1.1003225806451613
1970-04,6.04
1970-05,11.628064516129033
1970-06,17.993666666666666
1970-07,16.60741935483871
1970-08,17.00709677419355
1970-09,13.677333333333333
1970-10,9.140967741935484
1970-11,5.693333333333333
1970-12,0.28774193548387095
1971-01,-4.18258064516129
1971-02,1.1017857142857144
1971-03,1.2832258064516129
1971-04,9.509666666666668
1971-05,14.778064516129032
1971-06,14.360666666666667
1971-07,19.003548387096775
1971-08,18.38774193548387
1971-09,12.006
1971-10,7.6648387096774195
1971-11,3.2063333333333333
1971-12,3.244516129032258
1972-01,-2.661290322580645
1972-02,1.6313793103448277
1972-03,5.823225806451613
1972-04,8.053666666666667
1972-05,11.84451612903226
1972-06,14.778666666666668
1972-07,18.19161290322581
1972-08,16.17451612903226
1972-09,10.898333333333333
1972-10,5.788064516129032
1972-11,3.61
1972-12,-0.8090322580645161
1973-01,-0.9493548387096774
1973-02,0.5653571428571429
1973-03,3.738064516129032
1973-04,5.518666666666666
1973-05,13.478387096774194
1973-06,16.232
1973-07,17.544516129032257
1973-08,18.398387096774194
1973-09,14.397333333333334
1973-10,7.256451612903225
1973-11,2.7733333333333334
1973-12,-1.202258064516129
1974-01,2.793548387096774
1974-02,3.1010714285714287
1974-03,6.796774193548386
1974-04,8.471666666666668
1974-05,11.411290322580646
1974-06,14.590666666666667
1974-07,15.680967741935484
1974-08,18.026129032258062
1974-09,14.040333333333333
1974-10,5.448709677419354
1974-11,4.157333333333333
1974-12,4.539677419354838
1975-01,3.464193548387097
1975-02,1.2564285714285715
1975-03,4.176129032258065
1975-04,7.566666666666666
1975-05,13.010645161290322
1975-06,15.419
1975-07,18.636129032258065
1975-08,19.14032258064516
1975-09,16.216333333333335
1975-10,7.456451612903226
1975-11,2.3873333333333333
1975-12,0.5535483870967742
1976-01,1.9580645161290324
1976-02,0.49034482758620684
1976-03,1.5332258064516129
1976-04,7.802333333333333
1976-05,13.880967741935484
1976-06,18.389
1976-07,20.228387096774195
1976-08,16.67322580645161
1976-09,13.222000000000001
1976-10,9.44774193548387
1976-11,4.737333333333334
1976-12,-1.563225806451613
1977-01,-0.24419354838709675
1977-02,3.519642857142857
1977-03,6.678709677419355
1977-04,6.144333333333334
1977-05,12.76258064516129
1977-06,16.237000000000002
1977-07,17.520967741935483
1977-08,16.759032258064515
1977-09,12.434333333333333
1977-10,9.828064516129032
1977-11,5.225666666666667
1977-12,1.2322580645161292
1978-01,0.7767741935483871
1978-02,-1.4600000000000002
1978-03,5.227096774193548
1978-04,7.691333333333334
1978-05,12.123870967741935
1978-06,15.150333333333332
1978-07,16.14677419354839
1978-08,15.345806451612905
1978-09,12.791
